Na,Mg,Al,Si,Ca,Type
13.72,0,0.56,74.45,10.99,2
11.23,0,0.77,73.21,14.68,2
11.02,0,0.75,73.08,14.96,2
12.64,0,0.67,72.02,14.4,2
13.46,3.83,1.26,72.55,8.21,2
13.1,3.97,1.19,72.44,8.43,2
13.41,3.89,1.33,72.38,8.28,2
13.24,3.9,1.41,72.33,8.31,2
13.72,3.68,1.81,72.06,7.88,2
13.3,3.64,1.53,72.53,8.03,2
13.56,3.57,1.47,72.45,7.96,2
13.25,3.76,1.32,72.4,8.42,2
12.93,3.54,1.62,72.96,8.03,2
13.23,3.54,1.48,72.84,8.1,2
13.48,3.48,1.71,72.52,7.99,2
13.2,3.68,1.15,72.75,8.52,2
12.93,3.66,1.56,72.51,8.55,2
12.94,3.61,1.26,72.75,8.6,2
13.78,2.28,1.43,71.99,9.85,2
13.55,2.09,1.67,72.18,9.57,2
13.98,1.35,1.63,71.76,10.56,2
13.75,1.01,1.36,72.19,11.14,2
13.7,0,1.36,71.24,13.44,2
13.43,3.98,1.18,72.49,8.15,2
13.71,3.93,1.54,71.81,8.21,2
13.33,3.85,1.25,72.78,8.12,2
13.19,3.9,1.3,72.33,8.44,2
13,3.8,1.08,73.07,8.38,2
12.89,3.62,1.57,72.96,8.11,2
12.79,3.52,1.54,73.36,7.9,2
12.87,3.56,1.64,73.14,7.99,2
13.33,3.54,1.61,72.54,8.11,2
13.2,3.63,1.07,72.83,8.41,2
12.85,3.51,1.44,73.01,8.23,2
13,3.47,1.79,72.72,8.18,2
12.99,3.18,1.23,72.97,8.81,2
12.85,3.67,1.24,72.57,8.68,2
